Id,Prediction
1,0.138
2,0.917
3,0.009
4,0.878
5,0.918
6,0.883
7,0.598
8,0.0
9,0.956
10,0.426
11,0.975
12,0.98
13,0.0
14,0.579
15,0.976
16,0.304
17,0.038
18,0.127
19,0.261
20,0.0
21,0.925
22,0.938
23,0.0
24,0.609
25,0.135
26,0.006
27,0.217
28,0.459
29,0.033
30,0.928
31,0.002
32,0.991
33,0.992
34,0.939
35,0.0
36,0.099
37,0.727
38,0.247
39,0.962
40,0.956
41,0.643
42,0.018
43,0.096
44,0.99
45,0.647
46,0.15
47,0.0
48,0.239
49,0.77
50,0.0
51,0.173
52,0.462
53,0.239
54,0.893
55,0.734
56,0.97
57,0.698
58,0.0
59,0.801
60,0.724
61,0.605
62,0.973
63,0.767
64,0.333
65,0.0
66,0.0
67,0.556
68,0.801
69,0.629
70,0.062
71,0.523
72,0.804
73,0.189
74,0.377
75,0.054
76,0.0
77,0.281
78,0.0
79,0.157
80,0.771
81,0.704
82,0.847
83,0.706
84,0.439
85,0.125
86,0.704
87,0.951
88,0.108
89,0.806
90,0.978
91,0.446
92,0.968
93,0.07
94,0.758
95,0.347
96,0.29
97,0.002
98,0.997
99,0.907
100,0.958
101,0.0
102,0.994
103,0.813
104,0.118
105,0.521
106,0.689
107,0.268
108,0.74
109,0.633
110,0.967
111,0.838
112,0.932
113,0.031
114,0.224
115,0.952
116,0.027
117,0.888
118,0.646
119,0.116
120,0.143
121,0.002
122,0.0
123,0.941
124,0.643
125,0.953
126,0.857
127,0.596
128,0.001
129,0.457
130,0.709
131,0.976
132,0.938
133,0.986
134,0.966
135,0.638
136,0.99
137,0.049
138,0.957
139,0.084
140,0.99
141,0.962
142,0.822
143,0.816
144,0.724
145,0.582
146,0.312
147,0.26
148,0.794
149,0.834
150,0.0
151,0.0
152,0.82
153,0.436
154,0.288
155,0.0
156,0.238
157,0.878
158,0.441
159,0.034
160,0.045
161,0.973
162,0.11
163,0.0
164,0.983
165,0.869
166,0.647
167,0.901
168,0.086
169,0.53
170,0.942
171,0.223
172,0.614
173,0.0
174,0.642
175,0.908
176,0.714
177,0.974
178,0.885
179,0.615
180,0.886
181,0.445
182,0.372
183,0.542
184,0.0
185,0.295
186,0.652
187,0.011
188,0.166
189,0.979
190,0.0
191,0.372
192,0.414
193,0.04
194,0.919
195,0.0
196,0.683
197,0.93
198,0.0
199,0.0
200,0.63
201,0.878
202,0.315
203,0.001
204,0.952
205,0.521
206,0.141
207,0.0
208,0.0
209,0.968
210,0.081
211,0.333
212,0.001
213,0.063
214,0.44
215,0.0
216,0.0
217,0.944
218,0.882
219,0.861
220,0.796
221,0.754
222,0.609
223,0.77
224,0.422
225,0.982
226,0.968
227,0.687
228,0.819
229,0.41
230,0.895
231,0.064
232,0.443
233,0.384
234,0.355
235,0.797
236,0.001
237,0.0
238,0.0
239,0.0
240,0.139
241,0.578
242,0.969
243,0.0
244,0.791
245,0.857
246,0.189
247,0.247
248,0.078
249,0.661
250,0.775
251,0.398
252,0.647
253,0.02
254,0.958
255,0.945
256,0.842
257,0.96
258,0.843
259,0.027
260,0.182
261,0.844
262,0.375
263,0.005
264,0.409
265,0.819
266,0.997
267,0.07
268,0.885
269,0.964
270,0.888
271,0.074
272,0.72
273,0.001
274,0.948
275,0.797
276,0.0
277,0.874
278,0.937
279,0.733
280,0.001
281,0.054
282,0.726
283,0.001
284,0.501
285,0.0
286,0.887
287,0.613
288,0.0
289,0.646
290,0.168
291,0.0
292,0.0
293,0.009
294,0.982
295,0.02
296,0.668
297,0.225
298,0.092
299,0.006
300,0.231
301,0.073
302,0.707
303,0.171
304,0.635
305,0.0
306,0.787
307,0.111
308,0.752
309,0.042
310,0.998
311,0.598
312,0.979
313,0.967
314,0.549
315,0.796
316,0.007
317,0.01
318,0.077
319,0.665
320,0.982
321,0.906
322,0.734
323,0.987
324,0.045
325,0.0
326,0.955
327,0.994
328,0.925
329,0.97
330,0.666
331,0.051
332,0.561
333,0.066
334,0.873
335,0.052
336,0.103
337,0.392
338,0.0
339,0.295
340,0.994
341,0.538
342,0.011
343,0.508
344,0.74
345,0.786
346,0.353
347,0.885
348,0.983
349,0.407
350,0.822
351,0.035
352,0.5
353,0.822
354,0.456
355,0.047
356,0.289
357,0.0
358,0.206
359,0.311
360,0.575
361,0.009
362,0.948
363,0.448
364,0.789
365,0.0
366,0.662
367,0.643
368,0.055
369,0.343
370,0.004
371,0.045
372,0.827
373,0.949
374,0.367
375,0.004
376,0.17
377,0.369
378,0.972
379,0.985
380,0.122
381,0.855
382,0.995
383,0.434
384,0.462
385,0.405
386,0.312
387,0.543
388,0.877
389,0.548
390,0.132
391,0.0
392,0.0
393,0.934
394,0.71
395,0.84
396,0.754
397,0.569
398,0.882
399,0.119
400,0.123
401,0.955
402,0.762
403,0.259
404,0.0
405,0.958
406,0.495
407,0.0
408,0.324
409,0.49
410,0.197
411,0.008
412,0.695
413,0.071
414,0.945
415,0.933
416,0.737
417,0.0
418,0.649
419,0.796
420,0.734
421,0.951
422,0.851
423,0.951
424,0.949
425,0.0
426,0.0
427,0.978
428,0.993
429,0.168
430,0.372
431,0.586
432,0.0
433,0.933
434,0.0
435,0.91
436,0.383
437,0.018
438,0.381
439,0.776
440,0.768
441,0.127
442,0.869
443,0.284
444,0.029
445,0.838
446,0.009
447,0.567
448,0.021
449,0.27
450,0.878
451,0.456
452,0.099
453,0.658
454,0.581
455,0.346
456,0.031
457,0.896
458,0.025
459,0.927
460,0.154
461,0.449
462,0.033
463,0.0
464,0.514
465,0.342
466,0.598
467,0.957
468,0.323
469,0.094
470,0.49
471,0.571
472,0.381
473,0.348
474,0.581
475,0.431
476,0.418
477,0.981
478,0.997
479,0.0
480,0.0
481,0.187
482,0.0
483,0.969
484,0.0
485,0.54
486,0.722
487,0.77
488,0.216
489,0.962
490,0.311
491,0.695
492,0.691
493,0.708
494,0.862
495,0.909
496,0.225
497,0.958
498,0.941
499,0.399
500,0.002
501,0.0
502,0.644
503,0.888
504,0.004
505,0.864
506,0.077
507,0.503
508,0.347
509,0.96
510,0.786
511,0.77
512,0.129
513,0.678
514,0.506
515,0.7
516,0.998
517,0.0
518,0.588
519,0.755
520,0.769
521,0.464
522,0.153
523,0.867
524,0.002
525,0.002
526,0.949
527,0.678
528,0.786
529,0.792
530,0.0
531,0.042
532,0.785
533,0.186
534,0.09
535,0.955
536,0.936
537,0.0
538,0.564
539,0.413
540,0.095
541,0.992
542,0.014
543,0.155
544,0.93
545,0.99
546,0.875
547,0.975
548,0.518
549,0.001
550,0.021
551,0.875
552,0.406
553,0.517
554,0.793
555,0.412
556,0.264
557,0.972
558,0.878
559,0.774
560,0.377
561,0.0
562,0.588
563,0.167
564,0.644
565,0.104
566,0.968
567,0.0
568,0.001
569,0.979
570,0.595
571,0.783
572,0.088
573,0.128
574,0.0
575,0.691
576,0.971
577,0.32
578,0.407
579,0.901
580,0.682
581,0.913
582,0.757
583,0.622
584,0.0
585,0.962
586,0.337
587,0.848
588,0.754
589,0.998
590,0.819
591,0.812
592,0.347
593,0.792
594,0.001
595,0.882
596,0.454
597,0.565
598,0.136
599,0.0
600,0.007
601,0.515
602,0.0
603,0.0
604,0.011
605,0.65
606,0.11
607,0.458
608,0.003
609,0.0
610,0.241
611,0.361
612,0.631
613,0.95
614,0.933
615,0.492
616,0.59
617,0.0
618,0.967
619,0.769
620,0.079
621,0.752
622,0.537
623,0.327
624,0.0
625,0.205
626,0.446
627,0.973
628,0.782
629,0.968
630,0.859
631,0.985
632,0.318
633,0.0
634,0.0
635,0.0
636,0.395
637,0.244
638,0.711
639,0.912
640,0.183
641,0.0
642,0.021
643,0.985
644,0.54
645,0.885
646,0.032
647,0.636
648,0.906
649,0.794
650,0.391
651,0.128
652,0.115
653,0.554
654,0.0
655,0.048
656,0.003
657,0.565
658,0.0
659,0.962
660,0.0
661,0.687
662,0.0
663,0.067
664,0.012
665,0.049
666,0.0
667,0.023
668,0.708
669,0.307
670,0.29
671,0.438
672,0.862
673,0.573
674,0.289
675,0.712
676,0.273
677,0.412
678,0.011
679,0.628
680,0.94
681,0.854
682,0.989
683,0.007
684,0.636
685,0.806
686,0.641
687,0.38
688,0.451
689,0.75
690,0.917
691,0.072
692,0.662
693,0.858
694,0.575
695,0.0
696,0.606
697,0.712
698,0.555
699,0.0
700,0.012
701,0.968
702,0.672
703,0.608
704,0.83
705,0.0
706,0.0
707,0.001
708,0.536
709,0.0
710,0.89
711,0.069
712,0.651
713,0.948
714,0.007
715,0.851
716,0.55
717,0.047
718,0.6
719,0.077
720,0.812
721,0.478
722,0.248
723,0.555
724,0.0
725,0.0
726,0.008
727,0.549
728,0.764
729,0.104
730,0.665
731,0.291
732,0.86
733,0.012
734,0.48
735,0.731
736,0.0
737,0.02
738,0.0
739,0.752
740,0.888
741,0.257
742,0.0
743,0.964
744,0.0
745,0.403
746,0.117
747,0.0
748,0.712
749,0.473
750,0.0
751,0.889
752,0.086
753,0.969
754,0.385
755,0.733
756,0.0
757,0.0
758,0.619
759,0.0
760,0.036
761,0.129
762,0.001
763,0.349
764,0.868
765,0.0
766,0.217
767,0.851
768,0.886
769,0.979
770,0.649
771,0.997
772,0.988
773,0.916
774,0.332
775,0.003
776,0.894
777,0.259
778,0.759
779,0.556
780,0.004
781,0.635
782,0.0
783,0.672
784,0.031
785,0.522
786,0.753
787,0.391
788,0.0
789,0.018
790,0.778
791,0.0
792,0.095
793,0.0
794,0.0
795,0.616
796,0.945
797,0.842
798,0.977
799,0.333
800,0.0
801,0.46
802,0.153
803,0.71
804,0.594
805,0.379
806,0.952
807,0.986
808,0.856
809,0.983
810,0.963
811,0.814
812,0.852
813,0.124
814,0.815
815,0.931
816,0.89
817,0.391
818,0.063
819,0.456
820,0.839
821,0.053
822,0.418
823,0.502
824,0.0
825,0.004
826,0.68
827,0.913
828,0.905
829,0.093
830,0.34
831,0.783
832,0.923
833,0.265
834,0.596
835,0.854
836,0.957
837,0.143
838,0.0
839,0.525
840,0.838
841,0.622
842,0.635
843,0.121
844,0.259
845,0.002
846,0.863
847,0.002
848,0.116
849,0.905
850,0.916
851,0.192
852,0.698
853,0.487
854,0.748
855,0.631
856,0.0
857,0.688
858,0.206
859,0.86
860,0.0
861,0.637
862,0.594
863,0.0
864,0.0
865,0.06
866,0.978
867,0.907
868,0.508
869,0.932
870,0.982
871,0.484
872,0.982
873,0.848
874,0.93
875,0.187
876,0.085
877,0.205
878,0.993
879,0.349
880,0.755
881,0.083
882,0.0
883,0.0
884,0.485
885,0.149
886,0.0
887,0.952
888,0.913
889,0.413
890,0.9
891,0.86
892,0.967
893,0.006
894,0.287
895,0.887
896,0.0
897,0.044
898,0.094
899,0.667
900,0.971
901,0.112
902,0.0
903,0.038
904,0.277
905,0.005
906,0.902
907,0.993
908,0.892
909,0.003
910,0.0
911,0.959
912,0.99
913,0.828
914,0.256
915,0.254
916,0.053
917,0.198
918,0.0
919,0.599
920,0.49
921,0.88
922,0.041
923,0.0
924,0.061
925,0.915
926,0.317
927,0.383
928,0.93
929,0.856
930,0.832
931,0.198
932,0.366
933,0.004
934,0.819
935,0.0
936,0.849
937,0.371
938,0.69
939,0.684
940,0.0
941,0.833
942,0.817
943,0.744
944,0.569
945,0.332
946,0.001
947,0.0
948,0.521
949,0.584
950,0.707
951,0.95
952,0.887
953,0.976
954,0.154
955,0.593
956,0.025
957,0.044
958,0.894
959,0.862
960,0.812
961,0.908
962,0.622
963,0.983
964,0.134
965,0.64
966,0.798
967,0.696
968,0.011
969,0.675
970,0.782
971,0.911
972,0.61
973,0.328
974,0.018
975,0.903
976,0.538
977,0.001
978,0.756
979,0.57
980,0.248
981,0.959
982,0.414
983,0.143
984,0.878
985,0.095
986,0.112
987,0.574
988,0.387
989,0.014
990,0.929
991,0.318
992,0.01
993,0.51
994,0.587
995,0.0
996,0.543
997,0.728
998,0.863
999,0.159
1000,0.038
1001,0.0
1002,0.565
1003,0.634
1004,0.467
1005,0.883
1006,0.022
1007,0.541
1008,0.935
1009,0.525
1010,0.933
1011,0.0
1012,0.716
1013,0.881
1014,0.718
1015,0.768
1016,0.833
1017,0.964
1018,0.844
1019,0.621
1020,0.218
1021,0.0
1022,0.747
1023,0.803
1024,0.772
1025,0.006
1026,0.924
1027,0.668
1028,0.475
1029,0.057
1030,0.733
1031,0.025
1032,0.235
1033,0.0
1034,0.808
1035,0.922
1036,0.372
1037,0.576
1038,0.84
1039,0.892
1040,0.876
1041,0.0
1042,0.694
1043,0.586
1044,0.202
1045,0.369
1046,0.789
1047,0.303
1048,0.681
1049,0.89
1050,0.609
1051,0.431
1052,0.004
1053,0.845
1054,0.824
1055,0.447
1056,0.018
1057,0.572
1058,0.0
1059,0.442
1060,0.516
1061,0.419
1062,0.712
1063,0.646
1064,0.715
1065,0.0
1066,0.75
1067,0.0
1068,0.971
1069,0.147
1070,0.891
1071,0.154
1072,0.808
1073,0.823
1074,0.848
1075,0.038
1076,0.442
1077,0.094
1078,0.868
1079,0.874
1080,0.581
1081,0.685
1082,0.413
1083,0.253
1084,0.993
1085,0.977
1086,0.143
1087,0.724
1088,0.092
1089,0.816
1090,0.805
1091,0.125
1092,0.982
1093,0.011
1094,0.0
1095,0.003
1096,0.564
1097,0.867
1098,0.82
1099,0.44
1100,0.98
1101,0.975
1102,0.002
1103,0.309
1104,0.0
1105,0.014
1106,0.993
1107,0.271
1108,0.928
1109,0.983
1110,0.807
1111,0.978
1112,0.008
1113,0.946
1114,0.0
1115,0.002
1116,0.0
1117,0.912
1118,0.688
1119,0.949
1120,0.802
1121,0.006
1122,0.381
1123,0.762
1124,0.956
1125,0.0
1126,0.077
1127,0.832
1128,0.926
1129,0.959
1130,0.185
1131,0.0
1132,0.942
1133,0.438
1134,0.708
1135,0.984
1136,0.001
1137,0.0
1138,0.927
1139,0.955
1140,0.757
1141,0.884
1142,0.97
1143,0.321
1144,0.901
1145,0.0
1146,0.883
1147,0.992
1148,0.801
1149,0.028
1150,0.284
1151,0.9
1152,0.98
1153,0.172
1154,0.165
1155,0.23
1156,0.81
1157,0.965
1158,0.875
1159,0.819
1160,0.183
1161,0.992
1162,0.63
1163,0.457
1164,0.654
1165,0.0
1166,0.206
1167,0.457
1168,0.105
1169,0.123
1170,0.431
1171,0.826
1172,0.98
1173,0.993
1174,0.21
1175,0.983
1176,0.0
1177,0.211
1178,0.0
1179,0.71
1180,0.435
1181,0.708
1182,0.595
1183,0.413
1184,0.097
1185,0.627
1186,0.169
1187,0.08
1188,0.919
1189,0.0
1190,0.0
1191,0.916
1192,0.958
1193,0.342
1194,0.313
1195,0.268
1196,0.85
1197,0.652
1198,0.366
1199,0.798
1200,0.0
1201,0.0
1202,0.345
1203,0.693
1204,0.0
1205,0.468
1206,0.494
1207,0.0
1208,0.0
1209,0.0
1210,0.011
